Parameter_Name,Increment,Range_Min,Range_Max,Value
FORMAT_VERSION,B,N,N,"[0,1,2,3,4,5,7,8,9,10,11,12,13,14,19,20,21]"
LOG_BITMASK,B,N,N,"[0,1,2,3,4,5,7,8,9,10,11,12,13,14,19,20,21]"
INITIAL_MODE,V,N,N,"[0,1,3,4,5,6,7,8,9,10,11,12,15]"
SYSID_THISMAV,N,1,255,N
SYSID_MYGCS,1,1,255,N
TELEM_DELAY,1,0,30,N
GCS_PID_MASK,B,N,N,"[0,1,2,3,4,5,6,7]"
AUTO_TRIGGER_PIN,V,N,N,"[-1,0,1,2,3,4,5,6,7,8,50,51,52,53,54,55]"
AUTO_KICKSTART,0.1,0,20,N
CRUISE_SPEED,0.1,0,100,N
CRUISE_THROTTLE,1,0,100,N
PILOT_STEER_TYPE,V,N,N,"[0,1,2,3]"
FS_ACTION,V,N,N,"[0,1,2,3,4,5]"
FS_TIMEOUT,0.5,1,100,N
FS_THR_ENABLE,V,N,N,"[0,1,2]"
FS_THR_VALUE,1,910,1100,N
FS_GCS_ENABLE,V,N,N,"[0,1,2]"
FS_CRASH_CHECK,V,N,N,"[0,1,2]"
FS_EKF_ACTION,V,N,N,"[0,1,2]"
FS_EKF_THRESH,V,N,N,"[0.6,0.8,1.0]"
MODE1,V,N,N,"[0,1,3,4,5,6,7,8,9,10,11,12,15]"
MODE2,V,N,N,"[0,1,3,4,5,6,7,8,9,10,11,12,15]"
MODE3,V,N,N,"[0,1,3,4,5,6,7,8,9,10,11,12,15]"
MODE4,V,N,N,"[0,1,3,4,5,6,7,8,9,10,11,12,15]"
MODE5,V,N,N,"[0,1,3,4,5,6,7,8,9,10,11,12,15]"
MODE6,V,N,N,"[0,1,3,4,5,6,7,8,9,10,11,12,15]"
SYSID_ENFORCE,V,N,N,"[0,1]"
TURN_RADIUS,0.1,0,10,N
ACRO_TURN_RATE,1,0,360,N
RTL_SPEED,0.1,0,100,N
FRAME_CLASS,V,N,N,"[0,1,2,3]"
BAL_PITCH_MAX,0.1,0,15,N
CRASH_ANGLE,1,0,60,N
FRAME_TYPE,V,N,N,"[0,1,2,3,4]"
LOIT_TYPE,V,N,N,"[0,1,2]"
SIMPLE_TYPE,V,N,N,"[0,1]"
LOIT_RADIUS,1,0,20,N
MIS_DONE_BEHAVE,V,N,N,"[0,1,2,3]"
BAL_PITCH_TRIM,0.1,-2,2,N
STICK_MIXING,V,N,N,"[0,1]"
SPEED_MAX,0.1,0,30,N
LOIT_SPEED_GAIN,0.01,0,5,N
FS_OPTIONS,B,N,N,[0]
GUID_OPTIONS,B,N,N,[6]
MANUAL_OPTIONS,B,N,N,[0]
MANUAL_STR_EXPO,N,-0.5,0.95,N
FS_GCS_TIMEOUT,1,2,120,N
CH7_OPTION,V,N,N,"[0,1,2,3,4,5,6,7,8,9,10,11,12]"
PIVOT_TURN_ANGLE,1,0,360,N
PIVOT_TURN_RATE,1,0,360,N
FLTMODE_GCSBLOCK,B,N,N,"[0,1,2,3,4,5,6,7,8,9,10,11]"
