Enum_Name,Value
FIRMWARE_VERSION_TYPE,"[0, 64, 128, 192, 255]"
HL_FAILURE_FLAG,"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192]"
MAV_GOTO,"[0, 1, 2, 3]"
MAV_MODE,"[0, 64, 66, 80, 88, 92, 192, 194, 208, 216, 220]"
MAV_SYS_STATUS_SENSOR,"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 1048576, 2097152, 4194304, 8388608, 16777216, 33554432, 67108864, 134217728, 268435456, 536870912, 1073741824, 2147483648]"
MAV_SYS_STATUS_SENSOR_EXTENDED,[1]
MAV_FRAME,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]"
MAVLINK_DATA_STREAM_TYPE,"[0, 1, 2, 3, 4, 5]"
FENCE_ACTION,"[0, 1, 2, 3, 4, 5, 6, 7]"
FENCE_BREACH,"[0, 1, 2, 3]"
FENCE_MITIGATE,"[0, 1, 2]"
FENCE_TYPE,"[0, 1, 2, 4, 8]"
MAV_MOUNT_MODE — [DEP],"[0, 1, 2, 3, 4, 5, 6]"
GIMBAL_DEVICE_CAP_FLAGS,"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192]"
GIMBAL_MANAGER_CAP_FLAGS,"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192, 65536, 131072]"
GIMBAL_DEVICE_FLAGS,"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512]"
GIMBAL_MANAGER_FLAGS,"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512]"
GIMBAL_DEVICE_ERROR_FLAGS,"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512]"
GRIPPER_ACTIONS,"[0, 1]"
WINCH_ACTIONS,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
UAVCAN_NODE_HEALTH,"[0, 1, 2, 3]"
UAVCAN_NODE_MODE,"[0, 1, 2, 3, 7]"
ESC_CONNECTION_TYPE,"[0, 1, 2, 3, 4, 5]"
ESC_FAILURE_FLAGS,"[0, 1, 2, 4, 8, 16, 32, 64]"
STORAGE_STATUS,"[0, 1, 2, 3]"
STORAGE_TYPE,"[0, 1, 2, 3, 4, 5, 6, 7, 254]"
STORAGE_USAGE_FLAG,"[1, 2, 4, 8]"
ORBIT_YAW_BEHAVIOUR,"[0, 1, 2, 3, 4, 5]"
WIFI_CONFIG_AP_RESPONSE,"[0, 1, 2, 3, 4, 5]"
CELLULAR_CONFIG_RESPONSE,"[0, 1, 2, 3, 4]"
WIFI_CONFIG_AP_MODE,"[0, 1, 2, 3]"
COMP_METADATA_TYPE,"[0, 1, 2, 3, 4, 5]"
ACTUATOR_CONFIGURATION,"[0, 1, 2, 3, 4, 5]"
ACTUATOR_OUTPUT_FUNCTION,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
AUTOTUNE_AXIS,"[0, 1, 2, 4]"
PREFLIGHT_STORAGE_PARAMETER_ACTION,"[0, 1, 2, 3, 4]"
PREFLIGHT_STORAGE_MISSION_ACTION,"[0, 1, 2]"
MAV_DATA_STREAM — [DEP],"[0, 1, 2, 3, 4, 6, 10, 11, 12]"
MAV_ROI — [DEP],"[0, 1, 2, 3, 4]"
MAV_PARAM_TYPE,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
MAV_PARAM_EXT_TYPE,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
MAV_RESULT,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
MAV_MISSION_RESULT,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
MAV_SEVERITY,"[0, 1, 2, 3, 4, 5, 6, 7]"
MAV_POWER_STATUS,"[1, 2, 4, 8, 16, 32]"
SERIAL_CONTROL_DEV,"[0, 1, 2, 3, 10, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109]"
SERIAL_CONTROL_FLAG,"[1, 2, 4, 8, 16]"
MAV_DISTANCE_SENSOR,"[0, 1, 2, 3, 4]"
MAV_SENSOR_ORIENTATION,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 100]"
MAV_PROTOCOL_CAPABILITY,"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072]"
MAV_MISSION_TYPE,"[0, 1, 2, 255]"
MAV_ESTIMATOR_TYPE,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
MAV_BATTERY_TYPE,"[0, 1, 2, 3, 4]"
MAV_BATTERY_FUNCTION,"[0, 1, 2, 3, 4]"
MAV_BATTERY_CHARGE_STATE,"[0, 1, 2, 3, 4, 5, 6, 7]"
MAV_BATTERY_MODE,"[0, 1, 2]"
MAV_BATTERY_FAULT,"[1, 2, 4, 8, 16, 32, 64, 128, 256]"
MAV_GENERATOR_STATUS_FLAG,"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096, 8192, 16384, 32768, 65536, 131072, 262144, 524288, 1048576, 2097152, 4194304]"
MAV_VTOL_STATE,"[0, 1, 2, 3, 4]"
MAV_LANDED_STATE,"[0, 1, 2, 3, 4]"
ADSB_ALTITUDE_TYPE,"[0, 1]"
ADSB_EMITTER_TYPE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
ADSB_FLAGS,"[1, 2, 4, 8, 16, 32, 64, 128, 256, 32768]"
MAV_DO_REPOSITION_FLAGS,[1]
SPEED_TYPE,"[0, 1, 2, 3]"
ESTIMATOR_STATUS_FLAGS,"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048]"
MOTOR_TEST_ORDER,"[0, 1, 2]"
MOTOR_TEST_THROTTLE_TYPE,"[0, 1, 2, 3]"
GPS_INPUT_IGNORE_FLAGS,"[1, 2, 4, 8, 16, 32, 64, 128]"
MAV_COLLISION_ACTION,"[0, 1, 2, 3, 4, 5, 6]"
MAV_COLLISION_THREAT_LEVEL,"[0, 1, 2]"
MAV_COLLISION_SRC,"[0, 1]"
GPS_FIX_TYPE,"[0, 1, 2, 3, 4, 5, 6, 7, 8]"
RTK_BASELINE_COORDINATE_SYSTEM,"[0, 1]"
LANDING_TARGET_TYPE,"[0, 1, 2, 3]"
VTOL_TRANSITION_HEADING,"[0, 1, 2, 3, 4]"
CAMERA_CAP_FLAGS,"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096]"
VIDEO_STREAM_STATUS_FLAGS,"[1, 2, 4]"
VIDEO_STREAM_TYPE,"[0, 1, 2, 3]"
VIDEO_STREAM_ENCODING,"[0, 1, 2]"
CAMERA_TRACKING_STATUS_FLAGS,"[0, 1, 2]"
CAMERA_TRACKING_MODE,"[0, 1, 2]"
CAMERA_TRACKING_TARGET_DATA,"[0, 1, 2, 4]"
CAMERA_ZOOM_TYPE,"[0, 1, 2, 3, 4]"
SET_FOCUS_TYPE,"[0, 1, 2, 3, 4, 5, 6]"
CAMERA_SOURCE,"[0, 1, 2, 3]"
PARAM_ACK,"[0, 1, 2, 3]"
CAMERA_MODE,"[0, 1, 2]"
MAV_ARM_AUTH_DENIED_REASON,"[0, 1, 2, 3, 4, 5]"
RC_TYPE,"[0, 1]"
POSITION_TARGET_TYPEMASK,"[1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048]"
ATTITUDE_TARGET_TYPEMASK,"[1, 2, 4, 32, 64, 128]"
UTM_FLIGHT_STATE,"[1, 2, 3, 16, 32]"
UTM_DATA_AVAIL_FLAGS,"[1, 2, 4, 8, 16, 32, 64, 128]"
CELLULAR_STATUS_FLAG,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
CELLULAR_NETWORK_FAILED_REASON,"[0, 1, 2, 3]"
CELLULAR_NETWORK_RADIO_TYPE,"[0, 1, 2, 3, 4]"
PRECISION_LAND_MODE,"[0, 1, 2]"
PARACHUTE_ACTION,"[0, 1, 2]"
MAV_TUNNEL_PAYLOAD_TYPE,"[0, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209]"
MAV_ODID_ID_TYPE,"[0, 1, 2, 3, 4]"
MAV_ODID_UA_TYPE,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
MAV_ODID_STATUS,"[0, 1, 2, 3, 4]"
