Parameter_Name,Increment,Range_Min,Range_Max,Value,Type,Default,Units
ctl_bw,N,10,250,N,Int32,75,Hz
ctl_dir,N,0,1,N,Int32,1,N
ctl_gain,N,0.0,1.0,N,Float,1.0,C/rad
ctl_hz_idle,N,0.0,100.0,N,Float,3.5,Hz
ctl_start_rate,N,5,1000,N,Int32,25,1/s^2
esc_index,N,0,15,N,Int32,0,N
id_ext_status,N,1,1000000,N,Int32,20034,N
int_ext_status,N,0,1000000,N,Int32,50000,us
int_status,N,N,1000000,N,Int32,50000,us
mot_i_max,N,1.0,80.0,N,Float,12.0,A
mot_kv,N,0,4000,N,Int32,2300,rpm/V
mot_ls,N,N,N,N,Float,0.0,H
mot_num_poles,N,2,40,N,Int32,14,N
mot_rs,N,N,N,N,Float,0.0,Ohm
mot_v_accel,N,0.01,1.0,N,Float,0.5,V
mot_v_max,N,0.0,N,N,Float,14.8,V
gnss.dyn_model,V,0,2,"['0', '1', '2']",Int32,2,N
gnss.old_fix_msg,V,0,1,"['0', '1']",Int32,1,N
gnss.warn_dimens,V,0,3,"['0', '1', '2', '3']",Int32,0,N
gnss.warn_sats,N,N,N,N,Int32,0,N
uavcan.pubp-pres,N,0,1000000,N,Int32,0,us
ADSB_CALLSIGN_1,N,N,N,N,Int32,0,N
ADSB_CALLSIGN_2,N,N,N,N,Int32,0,N
ADSB_EMERGC,V,0,6,"['0', '1', '2', '3', '4', '5', '6']",Int32,0,N
ADSB_EMIT_TYPE,V,0,15,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19']",Int32,14,N
ADSB_GPS_OFF_LAT,V,0,7,"['0', '1', '2', '3', '4', '5', '6', '7']",Int32,0,N
ADSB_GPS_OFF_LON,V,0,1,"['0', '1']",Int32,0,N
ADSB_ICAO_ID,N,-1,16777215,N,Int32,1194684,N
ADSB_ICAO_SPECL,N,0,16777215,N,Int32,0,N
ADSB_IDENT,V,N,N,"['0', '1']",Int32,0,N
ADSB_LEN_WIDTH,V,0,15,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15']",Int32,1,N
ADSB_LIST_MAX,N,0,50,N,Int32,25,N
ADSB_MAX_SPEED,V,0,6,"['0', '1', '2', '3', '4', '5', '6']",Int32,0,N
ADSB_SQUAWK,N,0,7777,N,Int32,1200,N
PCA9685_DIS1,N,800,2200,N,Int32,1000,N
PCA9685_DIS10,N,800,2200,N,Int32,1000,N
PCA9685_DIS11,N,800,2200,N,Int32,1000,N
PCA9685_DIS12,N,800,2200,N,Int32,1000,N
PCA9685_DIS13,N,800,2200,N,Int32,1000,N
PCA9685_DIS14,N,800,2200,N,Int32,1000,N
PCA9685_DIS15,N,800,2200,N,Int32,1000,N
PCA9685_DIS16,N,800,2200,N,Int32,1000,N
PCA9685_DIS2,N,800,2200,N,Int32,1000,N
PCA9685_DIS3,N,800,2200,N,Int32,1000,N
PCA9685_DIS4,N,800,2200,N,Int32,1000,N
PCA9685_DIS5,N,800,2200,N,Int32,1000,N
PCA9685_DIS6,N,800,2200,N,Int32,1000,N
PCA9685_DIS7,N,800,2200,N,Int32,1000,N
PCA9685_DIS8,N,800,2200,N,Int32,1000,N
PCA9685_DIS9,N,800,2200,N,Int32,1000,N
PCA9685_DUTY_EN,B,0,65535,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15']",Int32,0,N
PCA9685_FAIL1,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL10,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL11,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL12,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL13,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL14,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL15,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL16,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL2,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL3,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL4,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL5,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL6,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL7,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL8,N,-1,2200,N,Int32,-1,N
PCA9685_FAIL9,N,-1,2200,N,Int32,-1,N
PCA9685_FUNC1,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
PCA9685_FUNC10,V,N,N,"['0', '1', '2', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '201', '202', '203', '204', '205', '206', '207', '208', '301', '302', '303', '304', '305', '306', '400', '401', '402', '403', '404', '405', '406', '407', '408', '409', '410', '411', '412', '420', '421', '422', '430', '440', '450', '451', '452', '453']",Int32,0,N
